article_count,num_mentions_sum,num_sources_sum,num_articles_sum,avg_tone,std_tone,avg_goldstein,avg_severity,max_severity,conflict_ratio,conflict_event_ratio,root_event_ratio,sig_amplifier,sig_precursor,sig_propagation,sig_response,sig_trigger,cat_economic,cat_geopolitical,cat_labor,cat_port,cat_trade_policy,prop_local,prop_regional,prop_global,article_count_r7,article_count_r14,article_count_wow,num_mentions_sum_r7,num_mentions_sum_r14,num_mentions_sum_wow,num_sources_sum_r7,num_sources_sum_r14,num_sources_sum_wow,num_articles_sum_r7,num_articles_sum_r14,num_articles_sum_wow,avg_tone_r7,avg_tone_r14,avg_tone_wow,std_tone_r7,std_tone_r14,std_tone_wow,avg_goldstein_r7,avg_goldstein_r14,avg_goldstein_wow,avg_severity_r7,avg_severity_r14,avg_severity_wow,max_severity_r7,max_severity_r14,max_severity_wow,conflict_ratio_r7,conflict_ratio_r14,conflict_ratio_wow,conflict_event_ratio_r7,conflict_event_ratio_r14,conflict_event_ratio_wow,root_event_ratio_r7,root_event_ratio_r14,root_event_ratio_wow,sig_amplifier_r7,sig_amplifier_r14,sig_amplifier_wow,sig_precursor_r7,sig_precursor_r14,sig_precursor_wow,sig_propagation_r7,sig_propagation_r14,sig_propagation_wow,sig_response_r7,sig_response_r14,sig_response_wow,sig_trigger_r7,sig_trigger_r14,sig_trigger_wow,cat_economic_r7,cat_economic_r14,cat_economic_wow,cat_geopolitical_r7,cat_geopolitical_r14,cat_geopolitical_wow,cat_labor_r7,cat_labor_r14,cat_labor_wow,cat_port_r7,cat_port_r14,cat_port_wow,cat_trade_policy_r7,cat_trade_policy_r14,cat_trade_policy_wow,prop_local_r7,prop_local_r14,prop_local_wow,prop_regional_r7,prop_regional_r14,prop_regional_wow,prop_global_r7,prop_global_r14,prop_global_wow,label,is_synthetic
182.0,748.0,182.0,716.0,-5.9849,3.4709,-5.5495,4.0,4.0,0.9451,1.0,0.044,0.0,0.0,0.0,0.0,1.0,0.0,0.1648,0.3736,0.011,0.4505,0.4396,0.5495,0.011,182.0,95.0,21.75,748.0,384.0,36.4,182.0,95.0,21.75,716.0,368.0,34.8,-5.9849,-5.9595,0.00856069159602968,3.4709,1.73545,0.0,-5.5495,-5.27475,0.10990000000000011,4.0,4.0,0.0,4.0,4.0,0.0,0.9451,0.97255,-0.05489999999999995,1.0,1.0,0.0,0.044,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1648,0.08240000000000006,0.0,0.3736,0.1868,0.0,0.011,0.0055,0.0,0.4505,0.72525,-0.5495,0.4396,0.4698,-0.12080000000000002,0.5495,0.52475,0.09899999999999998,0.011,0.0055,0.0,0,0
142.0,640.0,142.0,620.0,-3.8624,3.9691,-5.2775,4.0,4.0,0.8873,1.0,0.0423,0.0,0.0,0.0,0.0,1.0,0.0,0.1831,0.2113,0.0282,0.5775,0.3239,0.662,0.0141,142.0,162.0,-0.21978021978021978,640.0,694.0,-0.14438502673796794,142.0,162.0,-0.21978021978021978,620.0,668.0,-0.13407821229050276,-3.8624,-4.92365,-0.3546425170011195,3.9691,3.7199999999999998,0.1435362586072777,-5.2775,-5.4135,-0.049013424632849856,4.0,4.0,0.0,4.0,4.0,0.0,0.8873,0.9162000000000001,-0.061157549465665095,1.0,1.0,0.0,0.0423,0.043149999999999994,-0.03863636363636369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1831,0.17395000000000005,0.11104368932038833,0.2113,0.29245,-0.4344218415417559,0.0282,0.0196,1.563636363636364,0.5775,0.514,0.2819089900110987,0.3239,0.38175000000000003,-0.2631938125568698,0.662,0.60575,0.20473157415832577,0.0141,0.012549999999999999,0.28181818181818197,0,0
198.0,888.0,198.0,880.0,-5.1864,3.3095,-5.296,4.0303,5.0,0.9293,1.0,0.0303,0.0,0.0,0.0,0.0,1.0,0.0,0.1818,0.1717,0.0303,0.6162,0.3434,0.6566,0.0,198.0,170.0,0.3943661971830985,888.0,764.0,0.38749999999999996,198.0,170.0,0.3943661971830985,880.0,750.0,0.4193548387096775,-5.1864,-4.5244,0.34279204639602323,3.3095,3.6393,-0.166183769620317,-5.296,-5.28675,0.003505447655139715,4.0303,4.01515,0.007575000000000109,5.0,4.5,0.25,0.9293,0.9083000000000001,0.047334610616476924,1.0,1.0,0.0,0.0303,0.0363,-0.2836879432624113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1818,0.18245000000000006,-0.007099945385035666,0.1717,0.1915,-0.18741126360624705,0.0303,0.029249999999999998,0.07446808510638303,0.6162,0.59685,0.06701298701298697,0.3434,0.33365,0.06020376659462778,0.6566,0.6593,-0.00815709969788525,0.0,0.00705,-1.0,0,0
150.0,720.0,150.0,708.0,-4.2614,3.6328,-5.4187,4.0267,5.0,0.92,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,0.08,0.2133,0.04,0.6667,0.4,0.56,0.04,150.0,174.0,-0.24242424242424243,720.0,804.0,-0.18918918918918914,150.0,174.0,-0.24242424242424243,708.0,794.0,-0.19545454545454544,-4.2614,-4.7239,-0.17835107203455192,3.6328,3.4711499999999997,0.09768847257893953,-5.4187,-5.35735,0.023168429003021185,4.0267,4.0285,-0.0008932337543111624,5.0,5.0,0.0,0.92,0.9246500000000001,-0.010007532551382758,1.0,1.0,0.0,0.04,0.03515,0.3201320132013201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08,0.13090000000000004,-0.5599559955995599,0.2133,0.1925,0.2422830518345953,0.04,0.03515,0.3201320132013201,0.6667,0.64145,0.08195391106783512,0.4,0.37170000000000003,0.16482236458940025,0.56,0.6083000000000001,-0.1471215351812365,0.04,0.02,0.0,0,0
32.0,138.0,32.0,120.0,-7.1551,1.9253,-5.0,4.0,4.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.4375,0.0625,32.0,91.0,-0.7866666666666666,138.0,429.0,-0.8083333333333333,32.0,91.0,-0.7866666666666666,120.0,414.0,-0.8305084745762712,-7.1551,-5.70825,0.6790491387806823,1.9253,2.77905,-0.47002312266020696,-5.0,-5.209350000000001,-0.07726945577352506,4.0,4.01335,-0.0066307398117565475,4.0,4.5,-0.19999999999999996,1.0,0.9600000000000001,0.08695652173913038,1.0,1.0,0.0,0.125,0.0825,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000056,-1.0,0.0,0.10665,-1.0,0.0,0.02,-1.0,1.0,0.83335,0.49992500374981264,0.5,0.45,0.25,0.4375,0.49875,-0.2187500000000001,0.0625,0.051250000000000004,0.5625,0,0
4.0,20.0,4.0,20.0,-9.0909,0.0,-5.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,18.0,-0.875,20.0,79.0,-0.855072463768116,4.0,18.0,-0.875,20.0,70.0,-0.8333333333333334,-9.0909,-8.123000000000001,0.27054828024765554,0.0,0.96265,-1.0,-5.0,-5.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0625,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,-1.0,1.0,0.71875,1.2857142857142856,0.0,0.03125,-1.0,0,0
130.0,628.0,132.0,622.0,-5.9255,3.2966,-5.0585,4.0,4.0,0.9692,1.0,0.0462,0.0,0.0,0.0,0.0,1.0,0.0,0.1692,0.0615,0.0923,0.6769,0.3538,0.6154,0.0308,130.0,67.0,31.5,628.0,324.0,30.4,132.0,68.0,32.0,622.0,321.0,30.1,-5.9255,-7.5082,-0.34819434819434814,3.2966,1.6483,0.0,-5.0585,-5.02925,0.011700000000000044,4.0,4.0,0.0,4.0,4.0,0.0,0.9692,0.9845999999999999,-0.03080000000000005,1.0,1.0,0.0,0.0462,0.0231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1692,0.08460000000000005,0.0,0.0615,0.03075,0.0,0.0923,0.04615,0.0,0.6769,0.8384499999999999,-0.32310000000000005,0.3538,0.1769,0.0,0.6154,0.8077,-0.38460000000000005,0.0308,0.015400000000000004,0.0,0,0
54.0,260.0,56.0,260.0,-3.9342,3.8043,-5.4148,4.0,4.0,0.8519,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1111,0.2963,0.037,0.5556,0.4815,0.4815,0.037,54.0,92.0,-0.5846153846153845,260.0,444.0,-0.5859872611464968,56.0,94.0,-0.5757575757575757,260.0,441.0,-0.5819935691318328,-3.9342,-4.929850000000001,-0.3360560290270863,3.8043,3.55045,0.1540071588909786,-5.4148,-5.23665,0.07043589997034672,4.0,4.0,0.0,4.0,4.0,0.0,0.8519,0.91055,-0.12102765167148155,1.0,1.0,0.0,0.0,0.0231,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1111,0.14015000000000005,-0.34338061465721037,0.2963,0.1789,3.817886178861789,0.037,0.06465,-0.5991332611050921,0.5556,0.61625,-0.17919929088491648,0.4815,0.41764999999999997,0.3609383832673827,0.4815,0.54845,-0.2175820604484887,0.037,0.0339,0.2012987012987013,0,0
122.0,502.0,122.0,492.0,-4.3334,4.7153,-5.3885,4.0,4.0,0.8361,1.0,0.082,0.0,0.0,0.0,0.0,1.0,0.0,0.0492,0.2787,0.0328,0.6393,0.459,0.5246,0.0164,122.0,88.0,1.259259259259259,502.0,381.0,0.9307692307692308,122.0,89.0,1.1785714285714284,492.0,376.0,0.8923076923076922,-4.3334,-4.133800000000001,0.10146916781048243,4.7153,4.2598,0.2394658675709067,-5.3885,-5.40165,-0.004857058432444439,4.0,4.0,0.0,4.0,4.0,0.0,0.8361,0.8440000000000001,-0.01854677779082059,1.0,1.0,0.0,0.082,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0492,0.08015000000000005,-0.5571557155715572,0.2787,0.2875,-0.0593992575092811,0.0328,0.0349,-0.11351351351351335,0.6393,0.59745,0.15064794816414695,0.459,0.47025,-0.04672897196261672,0.5246,0.50305,0.08951194184839029,0.0164,0.0267,-0.5567567567567566,0,0
138.0,656.0,138.0,656.0,-4.3292,3.3619,-5.1043,4.0,4.0,0.913,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2319,0.1449,0.0,0.6232,0.4493,0.5362,0.0145,138.0,130.0,0.13114754098360648,656.0,579.0,0.3067729083665338,138.0,130.0,0.13114754098360648,656.0,574.0,0.33333333333333326,-4.3292,-4.331300000000001,-0.0009692158582175203,3.3619,4.0386,-0.28702309503106915,-5.1043,-5.2463999999999995,-0.05274195045003238,4.0,4.0,0.0,4.0,4.0,0.0,0.913,0.87455,0.09197464418131807,1.0,1.0,0.0,0.0,0.041,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2319,0.14055000000000006,3.713414634146341,0.1449,0.2118,-0.48008611410118407,0.0,0.0164,-1.0,0.6232,0.6312500000000001,-0.025183794775535784,0.4493,0.45415,-0.02113289760348591,0.5362,0.5304,0.02211208539839893,0.0145,0.015450000000000005,-0.11585365853658536,0,0
